JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed,Study_Efficiency,School_Quality_Index,Engagement_Level,Distance_Barrier
239,35,81,2,16.0,Public,Rural,Yes,No,High,Medium,35,21,Female,Medium,Tertiary,2,6.828571428571428,1.2,6.05,0.058823529411764705
181,23,88,1,8.6,Public,Urban,Yes,Yes,High,Low,36,19,Female,Low,Secondary,3,7.869565217391305,1.0,6.4,0.10416666666666667
123,12,84,1,6.3,Public,Urban,No,No,Medium,Medium,37,22,Female,Low,Secondary,2,10.25,0.6,4.2,0.136986301369863
159,18,87,2,10.3,Public,Urban,No,No,Low,Low,38,18,Female,Low,,1,8.833333333333334,1.2,4.35,0.08849557522123894
140,17,88,3,2.8,Public,Rural,Yes,No,High,Medium,39,17,Female,Medium,Primary,1,8.235294117647058,1.7999999999999998,6.4,0.2631578947368421
144,10,73,2,6.3,Public,Urban,No,No,Medium,High,40,21,Female,High,Tertiary,1,14.4,1.2,3.65,0.136986301369863
206,27,75,3,15.0,Private,Urban,No,No,Low,Medium,41,15,Female,High,Tertiary,3,7.62962962962963,1.7999999999999998,3.75,0.0625
100,18,83,3,13.6,Public,Rural,No,Yes,Low,High,42,22,Male,Medium,Primary,1,5.555555555555555,2.1999999999999997,4.15,0.0684931506849315
223,38,81,3,8.3,Public,Rural,No,Yes,Low,Low,43,19,Female,Low,Secondary,2,5.868421052631579,2.1999999999999997,4.05,0.1075268817204301
266,39,75,5,17.5,Public,Urban,No,Yes,Low,High,44,16,Male,Low,,3,6.82051282051282,3.4,3.75,0.05405405405405406
134,10,91,1,8.7,Public,Rural,No,Yes,Low,Low,45,18,Female,High,Tertiary,1,13.4,1.0,4.55,0.10309278350515465
104,21,93,2,19.7,Private,Rural,No,Yes,Low,Low,46,21,Female,Medium,Tertiary,2,4.9523809523809526,1.6,4.65,0.04830917874396135
140,8,97,2,5.1,Public,Rural,Yes,Yes,Low,High,47,20,Female,Low,,1,17.5,1.6,5.85,0.1639344262295082
172,26,86,3,5.4,Public,Rural,No,Yes,Low,Medium,48,17,Male,Medium,,4,6.615384615384615,2.1999999999999997,4.3,0.15625
133,11,88,1,7.8,Public,Rural,No,Yes,Low,Medium,49,21,Female,Low,Primary,1,12.090909090909092,1.0,4.4,0.11363636363636363
222,14,100,1,12.9,Public,Rural,Yes,No,Low,High,50,16,Male,Low,Primary,1,15.857142857142858,0.6,6.0,0.07194244604316546
136,19,76,2,9.5,Public,Rural,Yes,No,Low,Medium,51,15,Female,Medium,Secondary,1,7.157894736842105,1.2,4.8,0.09523809523809523
185,0,96,4,12.5,Public,Rural,No,No,Low,Low,52,16,Female,High,Tertiary,1,1850.0,2.4,4.8,0.07407407407407407
164,3,86,3,15.4,Public,Rural,Yes,No,Medium,Medium,53,18,Female,High,Tertiary,1,54.666666666666664,1.7999999999999998,5.3,0.06097560975609757
146,16,91,1,12.0,Public,Urban,No,Yes,Medium,Low,54,19,Female,Low,Primary,1,9.125,1.0,4.55,0.07692307692307693
100,14,81,1,7.2,Public,Urban,No,No,Low,Low,55,15,Male,Medium,Primary,3,7.142857142857143,0.6,4.05,0.12195121951219513
113,11,93,4,10.4,Public,Rural,Yes,No,Low,Medium,56,22,Female,Medium,Primary,2,10.272727272727273,2.4,5.65,0.08771929824561403
108,0,82,1,3.3,Public,Urban,No,Yes,High,High,57,18,Female,High,Tertiary,1,1080.0,1.0,5.1,0.23255813953488372
189,13,71,2,5.9,Private,Urban,Yes,Yes,Medium,High,58,17,Female,High,Tertiary,1,14.538461538461538,1.6,4.55,0.14492753623188406
262,30,100,4,5.7,Private,Urban,Yes,Yes,High,Medium,59,16,Male,High,Primary,3,8.733333333333333,2.8,7.0,0.14925373134328357
231,30,79,4,17.6,Private,Rural,No,No,Medium,High,60,22,Female,Medium,Primary,4,7.7,2.4,3.95,0.05376344086021505
151,18,95,4,11.7,Private,Urban,No,Yes,Low,High,61,16,Male,High,Tertiary,1,8.38888888888889,2.8,4.75,0.07874015748031496
103,24,79,1,16.2,Public,Urban,No,No,Medium,Low,62,15,Male,Low,Primary,1,4.291666666666667,0.6,3.95,0.05813953488372093
122,19,92,1,11.5,Public,Rural,No,Yes,Medium,Low,63,22,Male,Low,Primary,1,6.421052631578948,1.0,4.6,0.08
114,8,91,2,14.2,Public,Urban,Yes,Yes,Low,Low,64,15,Female,Medium,Primary,1,14.25,1.6,5.55,0.06578947368421052
135,14,86,3,12.3,Public,Urban,No,Yes,Medium,Low,65,17,Female,Medium,Primary,2,9.642857142857142,2.1999999999999997,4.3,0.07518796992481203
170,7,89,3,4.6,Private,Rural,No,Yes,High,Low,66,17,Male,Low,,1,24.285714285714285,2.1999999999999997,5.45,0.17857142857142858
185,20,89,4,7.4,Public,Urban,Yes,No,Medium,Medium,67,22,Female,High,Tertiary,2,9.25,2.4,5.45,0.11904761904761904
141,27,63,1,5.2,Public,Rural,No,Yes,Low,Medium,68,22,Female,High,Tertiary,2,5.222222222222222,1.0,3.15,0.16129032258064516
156,24,84,3,18.4,Public,Rural,No,Yes,Low,Medium,69,22,Female,Medium,Primary,1,6.5,2.1999999999999997,4.2,0.051546391752577324
227,37,77,2,9.1,Public,Rural,No,Yes,Low,High,70,15,Male,Low,,4,6.135135135135135,1.6,3.85,0.09900990099009901
143,14,84,3,5.4,Public,Urban,Yes,Yes,Low,Medium,71,22,Female,Medium,Secondary,1,10.214285714285714,2.1999999999999997,5.2,0.15625
161,31,73,2,2.4,Public,Urban,No,Yes,Low,Low,72,21,Male,Low,Primary,4,5.193548387096774,1.6,3.65,0.29411764705882354
191,19,74,2,17.7,Private,Urban,Yes,Yes,Low,Medium,73,18,Female,Medium,Tertiary,2,10.052631578947368,1.6,4.7,0.053475935828877004
161,32,99,2,11.9,Public,Urban,No,No,High,High,74,18,Female,Medium,Tertiary,2,5.03125,1.2,5.95,0.07751937984496124
226,24,98,1,4.1,Public,Rural,Yes,Yes,Medium,Low,75,15,Female,Medium,Tertiary,4,9.416666666666666,1.0,5.9,0.19607843137254904
176,26,84,3,10.9,Public,Rural,No,Yes,Medium,Low,76,16,Female,Medium,Secondary,4,6.769230769230769,2.1999999999999997,4.2,0.08403361344537814
169,33,86,2,14.7,Public,Urban,No,Yes,Low,Medium,77,21,Male,Medium,Secondary,1,5.121212121212121,1.6,4.3,0.06369426751592357
108,12,78,3,18.6,Public,Urban,No,Yes,Low,Low,78,20,Male,Low,Secondary,1,9.0,2.1999999999999997,3.9,0.0510204081632653
196,23,91,3,14.6,Public,Urban,Yes,No,High,High,79,19,Female,Low,,1,8.521739130434783,1.7999999999999998,6.55,0.06410256410256411
243,37,82,5,17.9,Public,Rural,No,Yes,Medium,Medium,80,22,Female,Medium,Secondary,2,6.5675675675675675,3.4,4.1,0.052910052910052914
231,23,97,3,9.1,Public,Urban,Yes,Yes,Low,High,81,22,Female,Medium,Secondary,3,10.043478260869565,2.1999999999999997,5.85,0.09900990099009901
151,6,80,3,5.7,Public,Rural,No,Yes,High,Medium,82,17,Female,Medium,Secondary,1,25.166666666666668,2.1999999999999997,5.0,0.14925373134328357
157,38,79,4,16.6,Public,Rural,Yes,Yes,Low,Low,83,18,Male,Low,,3,4.131578947368421,2.8,4.95,0.056818181818181816
138,12,82,2,9.1,Private,Urban,Yes,No,Low,Low,84,19,Female,Low,Primary,1,11.5,1.2,5.1,0.09900990099009901
155,19,77,1,5.9,Public,Urban,Yes,Yes,High,Low,85,16,Female,High,Secondary,1,8.157894736842104,1.0,5.85,0.14492753623188406
298,40,95,3,8.7,Public,Rural,Yes,Yes,Low,High,86,17,Male,Medium,Secondary,4,7.45,2.1999999999999997,5.75,0.10309278350515465
191,15,80,1,18.0,Private,Urban,No,Yes,Medium,Medium,87,18,Male,High,Tertiary,3,12.733333333333333,1.0,4.0,0.05263157894736842
236,16,93,5,7.3,Public,Urban,Yes,Yes,High,High,88,18,Male,High,Secondary,1,14.75,3.4,6.65,0.12048192771084336
100,16,91,3,11.1,Public,Rural,Yes,No,Low,Low,89,16,Male,Medium,,2,6.25,1.7999999999999998,5.55,0.08264462809917356
201,6,79,5,10.5,Public,Urban,Yes,Yes,High,Medium,90,16,Male,Medium,Secondary,1,33.5,3.4,5.95,0.08695652173913043
189,18,84,3,12.6,Private,Rural,No,Yes,Medium,Low,91,18,Female,Low,,2,10.5,2.1999999999999997,4.2,0.07352941176470588
131,18,86,3,10.0,Private,Urban,Yes,Yes,High,Low,92,18,Male,Low,,3,7.277777777777778,2.1999999999999997,6.3,0.09090909090909091
154,15,79,2,7.6,Public,Urban,Yes,Yes,Low,Low,93,19,Female,Medium,Tertiary,1,10.266666666666667,1.6,4.95,0.11627906976744186
116,1,85,3,0.0,Public,Rural,Yes,No,High,Medium,94,16,Male,High,Tertiary,1,116.0,1.7999999999999998,6.25,1.0
123,30,86,1,10.0,Public,Urban,Yes,Yes,Medium,Medium,95,20,Male,Medium,Primary,5,4.1,1.0,5.3,0.09090909090909091
197,22,96,1,2.0,Private,Rural,Yes,Yes,Medium,Medium,96,16,Female,Medium,Tertiary,2,8.954545454545455,1.0,5.8,0.3333333333333333
110,27,75,1,8.8,Public,Rural,Yes,Yes,Medium,High,97,19,Male,High,Secondary,1,4.074074074074074,1.0,4.75,0.1020408163265306
115,12,72,1,11.1,Private,Urban,No,Yes,Low,Medium,98,16,Male,Low,,1,9.583333333333334,1.0,3.6,0.08264462809917356
158,10,80,4,9.4,Public,Rural,No,No,Low,Medium,99,15,Male,Medium,Secondary,1,15.8,2.4,4.0,0.09615384615384615
228,26,78,5,15.7,Public,Rural,No,Yes,Low,High,100,21,Female,Medium,Tertiary,1,8.76923076923077,3.4,3.9,0.059880239520958084
158,16,89,1,8.6,Public,Urban,No,Yes,Low,Medium,101,17,Male,Low,Primary,1,9.875,1.0,4.45,0.10416666666666667
225,13,76,4,19.6,Public,Urban,No,No,Medium,High,102,15,Male,High,Tertiary,2,17.307692307692307,2.4,3.8,0.04854368932038835
118,28,100,3,15.0,Public,Urban,No,No,Medium,Low,103,21,Female,Low,,3,4.214285714285714,1.7999999999999998,5.0,0.0625
170,14,96,1,9.5,Public,Urban,Yes,Yes,Medium,Low,104,20,Female,Low,,2,12.142857142857142,1.0,5.8,0.09523809523809523
232,8,88,2,3.3,Public,Urban,Yes,Yes,Medium,High,105,16,Male,Medium,Secondary,1,29.0,1.6,5.4,0.23255813953488372
138,29,90,2,3.1,Public,Urban,Yes,Yes,Medium,High,106,19,Male,Low,,1,4.758620689655173,1.6,5.5,0.24390243902439027
100,9,64,3,12.0,Public,Rural,Yes,Yes,Low,Low,107,18,Female,Low,,1,11.11111111111111,2.1999999999999997,4.2,0.07692307692307693
156,13,100,1,9.4,Public,Urban,Yes,No,Medium,Medium,108,16,Male,Low,Secondary,2,12.0,0.6,6.0,0.09615384615384615
222,8,82,3,4.4,Public,Rural,No,Yes,Low,Medium,109,18,Female,Medium,,1,27.75,2.1999999999999997,4.1,0.18518518518518517
141,33,81,2,17.1,Public,Urban,Yes,No,Low,High,110,22,Female,Medium,,4,4.2727272727272725,1.2,5.05,0.055248618784530384
215,11,69,3,7.5,Public,Urban,No,Yes,Medium,High,111,22,Female,High,Secondary,1,19.545454545454547,2.1999999999999997,3.45,0.11764705882352941
159,19,88,2,14.4,Public,Urban,Yes,Yes,Low,Low,112,17,Female,Medium,Secondary,1,8.368421052631579,1.6,5.4,0.06493506493506493
200,30,75,2,10.6,Public,Urban,Yes,Yes,Low,High,113,21,Female,High,Tertiary,4,6.666666666666667,1.6,4.75,0.08620689655172414
211,26,88,3,11.9,Public,Urban,No,No,Medium,Medium,114,15,Male,High,Secondary,3,8.115384615384615,1.7999999999999998,4.4,0.07751937984496124
131,15,76,4,8.2,Public,Urban,No,Yes,Medium,Low,115,17,Male,Medium,Tertiary,1,8.733333333333333,2.8,3.8,0.10869565217391305
108,0,70,2,7.9,Public,Rural,No,Yes,Medium,Medium,116,22,Male,Medium,Primary,1,1080.0,1.6,3.5,0.11235955056179775
218,16,79,2,5.0,Public,Urban,No,No,High,Low,117,18,Female,Low,Primary,1,13.625,1.2,4.95,0.16666666666666666
102,15,82,3,9.0,Private,Rural,No,Yes,Medium,High,118,21,Female,Low,Primary,1,6.8,2.1999999999999997,4.1,0.1
153,11,71,2,9.3,Public,Urban,Yes,Yes,Medium,Low,119,17,Male,High,Secondary,1,13.909090909090908,1.6,4.55,0.0970873786407767
123,17,74,1,1.1,Public,Urban,No,Yes,Low,High,120,18,Male,Low,Secondary,1,7.235294117647059,1.0,3.7,0.47619047619047616
171,26,90,5,17.8,Private,Urban,Yes,Yes,Medium,High,121,15,Male,Low,Secondary,1,6.576923076923077,3.4,5.5,0.05319148936170213
183,29,100,2,1.2,Private,Urban,Yes,No,Low,Low,122,18,Male,Medium,Secondary,1,6.310344827586207,1.2,6.0,0.45454545454545453
188,10,90,2,11.3,Public,Rural,Yes,No,Medium,Medium,123,15,Female,High,Secondary,2,18.8,1.2,5.5,0.08130081300813008
192,40,77,3,6.9,Public,Urban,No,No,Low,Medium,124,16,Male,High,Primary,4,4.8,1.7999999999999998,3.85,0.12658227848101264
245,32,85,5,10.9,Public,Rural,No,Yes,Low,High,125,18,Male,High,Secondary,4,7.65625,3.4,4.25,0.08403361344537814
153,18,83,1,13.8,Public,Urban,No,No,Medium,High,126,17,Female,Low,Primary,1,8.5,0.6,4.15,0.06756756756756756
160,28,80,3,7.7,Public,Urban,Yes,Yes,Medium,Medium,127,21,Female,Medium,,1,5.714285714285714,2.1999999999999997,5.0,0.1149425287356322
232,40,96,5,4.0,Private,Rural,Yes,Yes,Medium,High,128,22,Female,High,Tertiary,3,5.8,3.4,5.8,0.2
263,14,92,3,6.6,Public,Urban,Yes,Yes,Medium,Low,129,19,Male,High,Tertiary,2,18.785714285714285,2.1999999999999997,5.6,0.13157894736842105
119,13,89,1,13.4,Public,Urban,No,Yes,Medium,Low,130,17,Female,Medium,Tertiary,1,9.153846153846153,1.0,4.45,0.06944444444444445
107,0,77,1,0.0,Private,Urban,No,Yes,Medium,High,131,20,Male,Medium,Primary,1,1070.0,1.0,3.85,1.0
116,17,93,2,4.5,Public,Urban,Yes,No,Low,Low,132,21,Male,Low,Secondary,1,6.823529411764706,1.2,5.65,0.18181818181818182
147,21,81,4,5.5,Public,Rural,Yes,Yes,Medium,High,133,19,Female,High,Tertiary,2,7.0,2.8,5.05,0.15384615384615385
221,23,78,2,11.3,Private,Rural,Yes,No,Low,High,134,22,Female,High,Secondary,2,9.608695652173912,1.2,4.9,0.08130081300813008
245,20,100,4,12.4,Private,Urban,Yes,No,Medium,Medium,135,17,Female,Low,Primary,3,12.25,2.4,6.0,0.07462686567164178
150,0,65,1,11.7,Public,Rural,Yes,Yes,Medium,Low,136,22,Female,Low,,1,1500.0,1.0,4.25,0.07874015748031496
126,19,74,1,5.0,Public,Urban,No,Yes,Low,Low,137,18,Male,High,Tertiary,1,6.631578947368421,1.0,3.7,0.16666666666666666
120,28,75,2,15.6,Public,Urban,No,No,Medium,Low,138,16,Male,Medium,Secondary,1,4.285714285714286,1.2,3.75,0.06024096385542168
127,10,100,4,16.0,Public,Urban,No,No,High,Medium,139,20,Female,Low,Primary,1,12.7,2.4,6.0,0.058823529411764705
196,25,100,3,7.0,Public,Urban,Yes,No,Medium,High,140,18,Male,High,Tertiary,1,7.84,1.7999999999999998,6.0,0.125
247,11,100,3,7.6,Public,Urban,No,Yes,High,Medium,141,15,Female,Medium,Secondary,2,22.454545454545453,2.1999999999999997,6.0,0.11627906976744186
234,29,85,3,13.3,Private,Urban,Yes,Yes,Medium,Medium,142,16,Female,Medium,Secondary,2,8.068965517241379,2.1999999999999997,5.25,0.06993006993006992
116,11,100,3,16.2,Public,Urban,Yes,Yes,High,Low,143,21,Female,Medium,Secondary,1,10.545454545454545,2.1999999999999997,7.0,0.05813953488372093
129,9,85,2,3.1,Private,Rural,Yes,Yes,Low,Low,144,20,Female,Medium,Tertiary,1,14.333333333333334,1.6,5.25,0.24390243902439027
105,7,89,3,8.9,Public,Rural,Yes,Yes,Low,High,145,18,Male,Medium,Secondary,1,15.0,2.1999999999999997,5.45,0.10101010101010101
136,13,84,1,17.4,Public,Urban,No,No,Medium,Low,146,16,Female,Medium,Tertiary,1,10.461538461538462,0.6,4.2,0.05434782608695653
145,21,82,4,16.9,Private,Urban,No,Yes,High,Low,147,15,Female,High,Secondary,2,6.904761904761905,2.8,5.1,0.0558659217877095
198,10,83,2,11.6,Public,Rural,Yes,No,Low,High,148,20,Female,Low,Primary,1,19.8,1.2,5.15,0.07936507936507936
162,15,82,2,6.4,Private,Rural,Yes,Yes,Low,Medium,149,19,Female,High,Secondary,1,10.8,1.6,5.1,0.13513513513513511
131,16,87,3,7.4,Private,Urban,Yes,Yes,High,Low,150,21,Male,Low,,1,8.1875,2.1999999999999997,6.35,0.11904761904761904
166,9,87,3,4.3,Private,Urban,No,Yes,Low,High,151,20,Female,High,Secondary,1,18.444444444444443,2.1999999999999997,4.35,0.18867924528301888
224,40,87,3,17.1,Public,Rural,No,Yes,Low,Medium,152,21,Male,Low,Tertiary,3,5.6,2.1999999999999997,4.35,0.055248618784530384
153,10,97,3,9.1,Public,Rural,Yes,Yes,Medium,Low,153,22,Male,Medium,Secondary,1,15.3,2.1999999999999997,5.85,0.09900990099009901
145,11,54,1,3.0,Public,Urban,Yes,Yes,Medium,High,154,21,Female,Medium,Primary,1,13.181818181818182,1.0,3.7,0.25
231,15,93,4,2.6,Public,Rural,No,No,High,Low,155,16,Male,Medium,Secondary,2,15.4,2.4,5.65,0.2777777777777778
122,32,88,3,8.7,Public,Urban,No,Yes,Medium,Medium,156,16,Male,Low,Secondary,3,3.8125,2.1999999999999997,4.4,0.10309278350515465
226,29,98,4,0.0,Private,Urban,Yes,Yes,Medium,High,157,15,Female,Medium,Secondary,4,7.793103448275862,2.8,5.9,1.0
189,12,85,2,6.7,Public,Rural,Yes,Yes,Low,High,158,20,Male,Low,Tertiary,2,15.75,1.6,5.25,0.12987012987012986
132,26,84,3,5.1,Private,Urban,Yes,Yes,Medium,Low,159,18,Female,Medium,Tertiary,1,5.076923076923077,2.1999999999999997,5.2,0.1639344262295082
247,27,98,3,9.0,Public,Urban,Yes,Yes,Medium,Low,160,19,Male,High,Tertiary,1,9.148148148148149,2.1999999999999997,5.9,0.1
141,19,96,3,14.3,Public,Rural,No,Yes,Low,Medium,161,16,Female,Low,,1,7.421052631578948,2.1999999999999997,4.8,0.06535947712418301
198,18,83,4,14.2,Private,Rural,Yes,No,High,High,162,16,Female,Medium,Secondary,2,11.0,2.4,6.15,0.06578947368421052
223,17,90,3,8.5,Public,Urban,No,No,Low,Medium,163,16,Female,Low,Primary,1,13.117647058823529,1.7999999999999998,4.5,0.10526315789473684
106,17,96,1,11.8,Public,Rural,No,No,Medium,Medium,164,16,Male,Low,Secondary,1,6.235294117647059,0.6,4.8,0.078125
144,12,62,4,19.4,Public,Urban,No,Yes,High,Low,165,22,Female,Low,,1,12.0,2.8,4.1,0.04901960784313726
207,39,80,3,14.9,Private,Urban,No,Yes,Low,Medium,166,20,Female,Medium,Primary,2,5.3076923076923075,2.1999999999999997,4.0,0.06289308176100629
115,3,94,2,12.3,Private,Urban,Yes,Yes,Low,High,167,15,Female,Low,Primary,1,38.333333333333336,1.6,5.7,0.07518796992481203
222,37,98,3,5.7,Private,Rural,Yes,No,Medium,Medium,168,16,Female,Medium,,4,6.0,1.7999999999999998,5.9,0.14925373134328357
283,28,96,2,8.9,Private,Rural,Yes,Yes,Medium,Low,169,19,Male,High,Secondary,3,10.107142857142858,1.6,5.8,0.10101010101010101
222,26,83,4,9.8,Private,Rural,Yes,Yes,High,Medium,170,15,Male,Medium,Tertiary,1,8.538461538461538,2.8,6.15,0.09259259259259259
150,25,74,1,15.3,Public,Urban,No,Yes,Low,Low,171,20,Female,Medium,Tertiary,2,6.0,1.0,3.7,0.06134969325153374
162,13,78,2,10.0,Public,Rural,Yes,Yes,High,Medium,172,22,Female,Low,,1,12.461538461538462,1.6,5.9,0.09090909090909091
121,23,96,2,3.8,Public,Rural,Yes,No,High,Low,173,16,Female,Medium,Secondary,4,5.260869565217392,1.2,6.8,0.20833333333333334
185,0,79,4,9.1,Public,Urban,Yes,Yes,High,Low,174,20,Female,High,Primary,1,1850.0,2.8,5.95,0.09900990099009901
241,19,89,3,17.0,Private,Urban,No,Yes,Low,High,175,19,Female,Medium,Secondary,1,12.68421052631579,2.1999999999999997,4.45,0.05555555555555555
153,9,76,3,16.6,Public,Rural,Yes,No,Low,Medium,176,17,Male,Medium,Secondary,1,17.0,1.7999999999999998,4.8,0.056818181818181816
196,10,94,3,6.7,Public,Urban,No,Yes,Low,High,177,17,Female,Medium,Secondary,1,19.6,2.1999999999999997,4.7,0.12987012987012986
159,16,78,2,11.3,Public,Urban,No,No,Medium,Medium,178,22,Male,Low,Primary,2,9.9375,1.2,3.9,0.08130081300813008
204,26,85,3,10.0,Public,Urban,Yes,No,Low,Medium,179,19,Male,Low,Secondary,2,7.846153846153846,1.7999999999999998,5.25,0.09090909090909091
105,20,64,2,13.9,Public,Urban,No,Yes,Medium,Low,180,22,Male,High,Secondary,2,5.25,1.6,3.2,0.06711409395973154
229,26,72,1,6.8,Public,Rural,Yes,Yes,Medium,Medium,181,16,Female,Medium,Secondary,1,8.807692307692308,1.0,4.6,0.12820512820512822
154,12,83,2,11.7,Public,Rural,Yes,No,Medium,Low,182,16,Male,Medium,Primary,1,12.833333333333334,1.2,5.15,0.07874015748031496
215,26,74,3,10.5,Public,Urban,No,Yes,Medium,High,183,22,Male,Medium,Secondary,3,8.26923076923077,2.1999999999999997,3.7,0.08695652173913043
129,17,100,2,14.8,Private,Urban,Yes,Yes,Medium,Low,184,15,Female,Low,,1,7.588235294117647,1.6,6.0,0.06329113924050632
268,36,71,3,4.3,Public,Rural,Yes,Yes,Low,Low,185,16,Female,Medium,Primary,2,7.444444444444445,2.1999999999999997,4.55,0.18867924528301888
154,25,75,2,11.3,Public,Rural,No,No,Low,Low,186,15,Female,Medium,Secondary,2,6.16,1.2,3.75,0.08130081300813008
