JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed,Study_Efficiency,School_Quality_Index,Engagement_Level,Distance_Barrier
137,9,84,3,11.7,Public,Rural,Yes,No,Low,High,3086,21,Male,Low,Secondary,1,15.222222222222221,1.7999999999999998,5.2,0.07874015748031496
150,13,82,4,12.0,Public,Urban,Yes,Yes,Medium,Medium,1492,17,Female,Low,,2,11.538461538461538,2.8,5.1,0.07692307692307693
143,28,83,4,7.3,Public,Rural,No,Yes,Medium,Medium,2727,21,Male,Medium,Secondary,3,5.107142857142857,2.8,4.15,0.12048192771084336
266,32,90,5,6.5,Private,Urban,Yes,Yes,Low,High,2229,18,Female,Medium,Primary,3,8.3125,3.4,5.5,0.13333333333333333
127,19,76,2,11.4,Private,Rural,No,No,High,Medium,4367,22,Female,Low,,3,6.684210526315789,1.2,4.8,0.08064516129032258
148,1,61,3,18.2,Public,Rural,No,No,Medium,Medium,4081,21,Female,Low,Primary,1,148.0,1.7999999999999998,3.05,0.052083333333333336
168,14,80,4,7.5,Public,Rural,No,Yes,Medium,Low,3849,22,Female,Low,Primary,2,12.0,2.8,4.0,0.11764705882352941
246,29,94,3,0.0,Public,Urban,No,No,Medium,Medium,2797,16,Female,Low,Primary,2,8.482758620689655,1.7999999999999998,4.7,1.0
217,31,87,5,11.5,Public,Urban,No,Yes,Medium,Medium,3448,20,Female,High,Tertiary,2,7.0,3.4,4.35,0.08
280,40,86,2,5.8,Public,Urban,Yes,No,High,High,331,16,Male,Low,Secondary,3,7.0,1.2,6.3,0.14705882352941177
205,23,97,3,12.5,Private,Rural,No,Yes,Medium,High,4748,19,Female,Low,Primary,2,8.91304347826087,2.1999999999999997,4.85,0.07407407407407407
171,26,90,5,17.8,Private,Urban,Yes,Yes,Medium,High,121,15,Male,Low,Secondary,1,6.576923076923077,3.4,5.5,0.05319148936170213
281,19,100,4,0.0,Public,Urban,No,No,Medium,Medium,285,20,Female,Medium,Primary,2,14.789473684210526,2.4,5.0,1.0
160,27,98,3,11.8,Public,Urban,No,No,Low,Low,1196,16,Male,Low,Secondary,2,5.925925925925926,1.7999999999999998,4.9,0.078125
248,6,89,3,10.1,Private,Rural,No,No,Low,Medium,2157,18,Female,High,Secondary,1,41.333333333333336,1.7999999999999998,4.45,0.0900900900900901
153,20,91,2,3.9,Private,Rural,Yes,Yes,Low,High,4496,21,Male,Medium,,2,7.65,1.6,5.55,0.2040816326530612
172,28,71,1,3.8,Public,Urban,No,No,Medium,Low,4251,20,Male,High,Primary,2,6.142857142857143,0.6,3.55,0.20833333333333334
249,31,84,3,7.6,Public,Rural,Yes,No,High,Medium,4424,17,Male,High,Secondary,1,8.03225806451613,1.7999999999999998,6.2,0.11627906976744186
228,9,100,1,4.4,Public,Urban,No,Yes,Medium,High,4532,17,Male,Low,,1,25.333333333333332,1.0,5.0,0.18518518518518517
142,17,72,4,9.2,Public,Rural,Yes,No,Medium,Low,3190,18,Female,High,Secondary,1,8.352941176470589,2.4,4.6,0.09803921568627452
227,12,96,3,3.7,Public,Rural,Yes,Yes,High,Low,3219,15,Female,Medium,Secondary,1,18.916666666666668,2.1999999999999997,6.8,0.2127659574468085
190,17,82,3,9.0,Public,Rural,Yes,No,Medium,High,2537,20,Male,Medium,Tertiary,2,11.176470588235293,1.7999999999999998,5.1,0.1
163,19,75,1,16.9,Public,Rural,Yes,Yes,Medium,Medium,2279,17,Male,Low,,2,8.578947368421053,1.0,4.75,0.0558659217877095
163,35,88,2,14.9,Public,Urban,Yes,Yes,Medium,High,4140,22,Male,Medium,Primary,2,4.6571428571428575,1.6,5.4,0.06289308176100629
255,30,82,3,12.9,Public,Urban,Yes,No,High,High,321,16,Female,Medium,Primary,1,8.5,1.7999999999999998,6.1,0.07194244604316546
155,13,82,1,6.0,Public,Rural,No,Yes,Medium,Medium,4816,17,Female,Low,Primary,1,11.923076923076923,1.0,4.1,0.14285714285714285
159,5,90,3,6.0,Private,Rural,Yes,No,Low,Medium,1039,19,Male,Low,Secondary,1,31.8,1.7999999999999998,5.5,0.14285714285714285
237,25,94,2,15.6,Public,Rural,No,Yes,Medium,High,2740,16,Female,High,Tertiary,1,9.48,1.6,4.7,0.06024096385542168
148,14,87,2,9.1,Public,Rural,Yes,Yes,Low,Medium,2341,18,Female,Low,Primary,1,10.571428571428571,1.6,5.35,0.09900990099009901
106,0,89,1,10.3,Public,Urban,No,Yes,Medium,Medium,4664,18,Male,Medium,,1,1060.0,1.0,4.45,0.08849557522123894
227,26,79,4,11.7,Public,Rural,Yes,Yes,Low,High,2032,16,Female,Medium,Secondary,4,8.73076923076923,2.8,4.95,0.07874015748031496
145,19,87,3,7.9,Private,Rural,Yes,Yes,Medium,Medium,1339,21,Male,Low,Primary,1,7.631578947368421,2.1999999999999997,5.35,0.11235955056179775
208,23,93,2,9.1,Public,Rural,No,Yes,Medium,Medium,4950,20,Female,High,Tertiary,3,9.043478260869565,1.6,4.65,0.09900990099009901
242,33,100,2,0.5,Private,Urban,Yes,Yes,Low,High,3483,20,Male,Medium,Secondary,3,7.333333333333333,1.6,6.0,0.6666666666666666
163,28,88,4,12.6,Public,Urban,No,Yes,Medium,Low,2969,18,Female,Medium,Secondary,4,5.821428571428571,2.8,4.4,0.07352941176470588
105,14,85,2,16.6,Public,Rural,Yes,No,High,Medium,1835,22,Male,Low,Secondary,1,7.5,1.2,6.25,0.056818181818181816
192,19,91,2,20.0,Private,Urban,No,Yes,Low,High,3686,22,Male,High,Secondary,1,10.105263157894736,1.6,4.55,0.047619047619047616
119,13,89,1,13.4,Public,Urban,No,Yes,Medium,Low,130,17,Female,Medium,Tertiary,1,9.153846153846153,1.0,4.45,0.06944444444444445
100,24,74,2,11.6,Public,Rural,No,Yes,Low,Medium,2289,15,Female,Medium,Secondary,2,4.166666666666667,1.6,3.7,0.07936507936507936
126,11,91,3,18.5,Public,Urban,No,No,Low,Low,4877,16,Female,High,Tertiary,2,11.454545454545455,1.7999999999999998,4.55,0.05128205128205128
218,25,83,2,3.9,Public,Rural,Yes,Yes,Medium,Medium,443,22,Female,Medium,Tertiary,2,8.72,1.6,5.15,0.2040816326530612
295,37,96,3,7.3,Private,Urban,No,Yes,High,High,1169,19,Male,Medium,Primary,2,7.972972972972973,2.1999999999999997,5.8,0.12048192771084336
139,26,88,3,9.3,Public,Urban,Yes,Yes,Medium,Low,3942,22,Male,Low,Primary,4,5.346153846153846,2.1999999999999997,5.4,0.0970873786407767
116,3,60,3,12.7,Public,Urban,No,Yes,Low,High,723,15,Male,Medium,Tertiary,3,38.666666666666664,2.1999999999999997,3.0,0.07299270072992702
101,19,94,2,8.9,Public,Urban,Yes,No,Medium,Low,4078,15,Male,Medium,Tertiary,2,5.315789473684211,1.2,5.7,0.10101010101010101
227,9,78,3,9.3,Public,Rural,Yes,Yes,Medium,Low,1918,16,Male,Low,Secondary,1,25.22222222222222,2.1999999999999997,4.9,0.0970873786407767
186,24,95,1,16.0,Private,Rural,Yes,Yes,Low,High,1589,16,Male,Low,Primary,3,7.75,1.0,5.75,0.058823529411764705
201,26,82,4,15.9,Private,Rural,No,Yes,High,High,4269,15,Female,Low,Tertiary,1,7.730769230769231,2.8,5.1,0.0591715976331361
111,0,92,2,19.4,Private,Urban,Yes,Yes,Low,Low,1157,17,Male,Medium,Secondary,2,1110.0,1.6,5.6,0.04901960784313726
162,21,76,1,17.1,Public,Urban,No,No,Low,Medium,1258,20,Male,High,Secondary,1,7.714285714285714,0.6,3.8,0.055248618784530384
235,36,79,4,11.4,Private,Rural,No,Yes,Medium,High,4780,21,Male,Medium,Primary,2,6.527777777777778,2.8,3.95,0.08064516129032258
149,18,100,2,10.2,Public,Rural,Yes,Yes,High,Low,2936,21,Female,Medium,Secondary,1,8.277777777777779,1.6,7.0,0.08928571428571429
183,24,78,4,12.7,Public,Urban,Yes,Yes,Medium,Medium,4132,19,Female,Medium,,2,7.625,2.8,4.9,0.07299270072992702
242,36,88,3,8.0,Public,Rural,Yes,No,Medium,High,4803,15,Male,High,Tertiary,2,6.722222222222222,1.7999999999999998,5.4,0.1111111111111111
130,29,82,1,10.8,Public,Urban,No,No,Medium,Low,4166,21,Female,Low,,2,4.482758620689655,0.6,4.1,0.0847457627118644
103,17,87,1,12.1,Public,Rural,No,Yes,Medium,Low,4602,18,Male,Low,,1,6.0588235294117645,1.0,4.35,0.07633587786259542
211,26,87,3,14.3,Private,Rural,Yes,No,Low,Medium,2322,16,Female,Low,Primary,2,8.115384615384615,1.7999999999999998,5.35,0.06535947712418301
199,32,81,2,12.2,Private,Urban,No,Yes,Medium,Medium,1619,18,Male,Medium,Primary,3,6.21875,1.6,4.05,0.07575757575757576
108,18,87,2,4.9,Public,Rural,No,No,Medium,Low,1973,20,Male,Medium,Secondary,2,6.0,1.2,4.35,0.1694915254237288
166,20,82,2,7.5,Private,Urban,Yes,No,Low,Low,1765,17,Male,Medium,Secondary,2,8.3,1.2,5.1,0.11764705882352941
200,19,80,3,13.1,Public,Rural,No,Yes,High,Low,4900,17,Female,Low,,1,10.526315789473685,2.1999999999999997,5.0,0.07092198581560284
191,23,77,3,20.0,Public,Urban,Yes,No,Low,Low,779,22,Male,Medium,Secondary,3,8.304347826086957,1.7999999999999998,4.85,0.047619047619047616
178,4,84,3,7.4,Private,Urban,No,No,Medium,Medium,2565,17,Female,Medium,Secondary,1,44.5,1.7999999999999998,4.2,0.11904761904761904
102,16,76,3,5.0,Private,Urban,No,Yes,Low,High,671,15,Female,Medium,Secondary,2,6.375,2.1999999999999997,3.8,0.16666666666666666
109,9,85,2,0.0,Private,Rural,No,Yes,Medium,High,3230,22,Male,Low,Secondary,1,12.11111111111111,1.6,4.25,1.0
104,0,85,1,13.9,Public,Rural,Yes,Yes,Low,Low,4263,17,Female,High,Tertiary,1,1040.0,1.0,5.25,0.06711409395973154
343,27,100,4,5.2,Public,Urban,Yes,Yes,High,High,1591,15,Male,High,Tertiary,2,12.703703703703704,2.8,7.0,0.16129032258064516
209,13,93,3,13.5,Private,Urban,No,Yes,High,Low,3014,21,Male,High,Tertiary,1,16.076923076923077,2.1999999999999997,5.65,0.06896551724137931
270,28,98,4,8.7,Public,Rural,No,No,High,Medium,2064,15,Female,High,Tertiary,1,9.642857142857142,2.4,5.9,0.10309278350515465
142,0,81,2,3.3,Public,Urban,No,No,High,Medium,1533,21,Male,High,Secondary,1,1420.0,1.2,5.05,0.23255813953488372
107,20,79,2,4.7,Public,Urban,No,Yes,Low,Medium,1030,18,Female,High,Tertiary,1,5.35,1.6,3.95,0.17543859649122806
190,11,92,3,6.8,Public,Urban,Yes,No,Low,High,3698,18,Female,Low,,1,17.272727272727273,1.7999999999999998,5.6,0.12820512820512822
130,17,100,3,19.5,Public,Rural,Yes,No,Low,Medium,2321,17,Female,Low,,2,7.647058823529412,1.7999999999999998,6.0,0.04878048780487805
190,23,77,2,15.0,Public,Urban,No,Yes,High,Medium,3180,16,Female,Medium,Primary,2,8.26086956521739,1.6,4.85,0.0625
162,3,97,2,8.6,Public,Rural,No,Yes,Medium,Medium,2383,15,Male,Medium,Primary,1,54.0,1.6,4.85,0.10416666666666667
191,24,99,3,0.0,Public,Rural,No,Yes,Low,Low,2196,21,Female,Medium,Secondary,2,7.958333333333333,2.1999999999999997,4.95,1.0
142,4,89,1,8.7,Public,Urban,No,Yes,Medium,Medium,4845,21,Male,Low,Primary,1,35.5,1.0,4.45,0.10309278350515465
176,14,72,3,12.8,Public,Rural,Yes,Yes,Medium,High,3610,17,Female,High,Tertiary,3,12.571428571428571,2.1999999999999997,4.6,0.07246376811594203
212,18,87,3,0.0,Public,Rural,No,No,High,Low,3477,17,Female,Medium,Tertiary,1,11.777777777777779,1.7999999999999998,5.35,1.0
168,26,70,1,10.9,Private,Rural,Yes,Yes,High,Low,954,22,Female,Medium,Tertiary,1,6.461538461538462,1.0,5.5,0.08403361344537814
195,17,100,2,5.1,Public,Rural,No,Yes,High,Low,821,20,Female,Low,Secondary,2,11.470588235294118,1.6,6.0,0.1639344262295082
129,24,80,2,13.1,Public,Urban,Yes,Yes,Medium,Low,783,21,Female,High,Tertiary,2,5.375,1.6,5.0,0.07092198581560284
111,20,73,2,6.7,Private,Urban,No,No,High,Medium,245,22,Female,Medium,Primary,1,5.55,1.2,4.65,0.12987012987012986
113,7,83,1,11.5,Public,Urban,Yes,Yes,Medium,Medium,4196,16,Male,Low,Tertiary,1,16.142857142857142,1.0,5.15,0.08
153,0,80,1,14.2,Public,Rural,No,Yes,Medium,Low,1405,19,Male,High,Tertiary,1,1530.0,1.0,4.0,0.06578947368421052
185,3,79,3,3.1,Public,Urban,Yes,Yes,Low,Low,4224,15,Female,High,Secondary,1,61.666666666666664,2.1999999999999997,4.95,0.24390243902439027
329,40,97,4,7.3,Public,Urban,Yes,Yes,Low,High,4199,20,Male,Medium,Tertiary,5,8.225,2.8,5.85,0.12048192771084336
194,16,90,1,7.1,Public,Rural,Yes,No,High,Medium,3365,19,Male,High,Tertiary,1,12.125,0.6,6.5,0.1234567901234568
151,20,79,4,11.7,Private,Urban,No,Yes,Low,Low,4035,17,Male,Low,Primary,1,7.55,2.8,3.95,0.07874015748031496
244,32,100,2,6.8,Public,Urban,Yes,Yes,Medium,Low,193,21,Male,Medium,Primary,1,7.625,1.6,6.0,0.12820512820512822
168,27,87,3,12.3,Public,Rural,No,Yes,Medium,Low,2206,15,Male,Low,,1,6.222222222222222,2.1999999999999997,4.35,0.07518796992481203
116,16,84,2,11.9,Public,Rural,No,No,Medium,Low,711,20,Male,Low,Primary,1,7.25,1.2,4.2,0.07751937984496124
149,23,71,4,8.9,Public,Urban,Yes,No,Low,Low,4450,19,Male,Low,,1,6.478260869565218,2.4,4.55,0.10101010101010101
246,12,91,3,8.0,Public,Urban,Yes,Yes,Low,Low,4160,20,Male,Medium,Tertiary,1,20.5,2.1999999999999997,5.55,0.1111111111111111
192,23,82,2,18.0,Public,Rural,Yes,Yes,High,Low,988,16,Male,Medium,Tertiary,1,8.347826086956522,1.6,6.1,0.05263157894736842
107,16,85,3,4.4,Private,Rural,No,No,Low,Medium,1100,19,Female,Low,Primary,1,6.6875,1.7999999999999998,4.25,0.18518518518518517
162,18,78,1,6.0,Public,Urban,No,Yes,Low,High,4318,16,Male,Medium,Tertiary,1,9.0,1.0,3.9,0.14285714285714285
159,11,79,3,12.0,Public,Rural,No,No,High,Low,441,16,Female,Medium,,2,14.454545454545455,1.7999999999999998,4.95,0.07692307692307693
139,8,74,1,7.4,Public,Rural,Yes,Yes,Medium,Medium,688,20,Male,Medium,Tertiary,1,17.375,1.0,4.7,0.11904761904761904
293,29,100,3,5.5,Private,Urban,Yes,No,Low,Low,641,17,Female,Medium,Tertiary,1,10.10344827586207,1.7999999999999998,6.0,0.15384615384615385
214,34,100,2,15.4,Public,Rural,No,No,Medium,Medium,4310,20,Female,Medium,Primary,3,6.294117647058823,1.2,5.0,0.06097560975609757
189,20,79,2,7.7,Public,Rural,No,Yes,Low,High,4603,19,Female,High,Tertiary,1,9.45,1.6,3.95,0.1149425287356322
111,16,75,3,16.0,Public,Urban,Yes,No,Low,Low,3655,20,Male,Medium,Tertiary,1,6.9375,1.7999999999999998,4.75,0.058823529411764705
180,14,100,3,11.7,Public,Rural,No,Yes,Medium,High,3685,19,Female,High,Secondary,1,12.857142857142858,2.1999999999999997,5.0,0.07874015748031496
260,24,100,3,12.8,Public,Rural,No,Yes,Medium,Low,1229,16,Male,Low,Primary,3,10.833333333333334,2.1999999999999997,5.0,0.07246376811594203
160,23,98,1,12.0,Public,Urban,No,Yes,Low,Medium,4626,21,Female,Low,,1,6.956521739130435,1.0,4.9,0.07692307692307693
230,34,96,3,9.7,Public,Urban,Yes,Yes,Medium,Medium,934,22,Male,High,Tertiary,2,6.764705882352941,2.1999999999999997,5.8,0.09345794392523366
119,6,97,1,7.1,Public,Urban,No,Yes,Medium,Low,3726,16,Female,Medium,Primary,1,19.833333333333332,1.0,4.85,0.1234567901234568
215,36,91,4,14.0,Public,Urban,Yes,Yes,High,Medium,2871,15,Male,Low,Secondary,4,5.972222222222222,2.8,6.55,0.06666666666666667
212,27,100,2,18.2,Public,Rural,Yes,No,Medium,Medium,2189,17,Male,Medium,Tertiary,1,7.851851851851852,1.2,6.0,0.052083333333333336
163,9,76,3,11.9,Public,Rural,No,No,Low,Low,1404,17,Male,Low,,1,18.11111111111111,1.7999999999999998,3.8,0.07751937984496124
263,15,89,4,10.3,Public,Urban,Yes,Yes,Low,Medium,858,18,Male,Medium,Primary,1,17.533333333333335,2.8,5.45,0.08849557522123894
158,32,83,2,6.0,Private,Rural,No,No,Low,High,3091,18,Female,Medium,Primary,4,4.9375,1.2,4.15,0.14285714285714285
222,28,84,5,14.2,Public,Urban,Yes,No,High,High,1138,18,Female,High,Tertiary,2,7.928571428571429,3.0,6.2,0.06578947368421052
261,22,95,1,10.5,Public,Urban,No,Yes,Medium,High,601,18,Female,Medium,Primary,1,11.863636363636363,1.0,4.75,0.08695652173913043
170,18,86,2,0.9,Public,Urban,Yes,Yes,Low,Medium,757,16,Male,High,Tertiary,1,9.444444444444445,1.6,5.3,0.5263157894736842
138,19,88,2,12.1,Public,Urban,No,Yes,Medium,High,4126,15,Male,Medium,Secondary,1,7.2631578947368425,1.6,4.4,0.07633587786259542
130,11,83,2,9.5,Public,Rural,No,Yes,High,Low,4551,19,Male,Medium,Secondary,2,11.818181818181818,1.6,5.15,0.09523809523809523
176,26,84,3,10.9,Public,Rural,No,Yes,Medium,Low,76,16,Female,Medium,Secondary,4,6.769230769230769,2.1999999999999997,4.2,0.08403361344537814
242,15,96,1,12.4,Public,Rural,Yes,Yes,High,High,4020,20,Female,Medium,Tertiary,2,16.133333333333333,1.0,6.8,0.07462686567164178
132,11,84,1,8.1,Public,Urban,Yes,No,Low,Low,3924,22,Male,High,Tertiary,2,12.0,0.6,5.2,0.10989010989010989
220,31,100,3,0.0,Public,Rural,No,Yes,High,Medium,442,18,Female,Medium,Primary,3,7.096774193548387,2.1999999999999997,6.0,1.0
103,10,88,1,7.6,Public,Urban,No,Yes,Low,Medium,1148,21,Male,Low,Primary,1,10.3,1.0,4.4,0.11627906976744186
158,24,100,2,6.1,Public,Rural,No,Yes,Medium,High,696,19,Male,Medium,Primary,3,6.583333333333333,1.6,5.0,0.14084507042253522
154,6,90,1,8.5,Public,Rural,No,Yes,High,Low,879,18,Female,Medium,Primary,1,25.666666666666668,1.0,5.5,0.10526315789473684
143,6,68,2,2.7,Private,Urban,Yes,Yes,Low,Medium,3971,19,Female,Medium,Tertiary,1,23.833333333333332,1.6,4.4,0.27027027027027023
159,11,81,1,8.8,Public,Urban,Yes,Yes,Medium,Medium,976,21,Male,Low,Primary,1,14.454545454545455,1.0,5.05,0.1020408163265306
187,15,70,1,15.7,Public,Rural,No,Yes,Medium,High,1983,17,Female,High,Tertiary,2,12.466666666666667,1.0,3.5,0.059880239520958084
193,11,74,3,0.8,Public,Rural,Yes,No,High,Medium,933,18,Male,Medium,Secondary,1,17.545454545454547,1.7999999999999998,5.7,0.5555555555555556
116,18,87,2,19.9,Public,Urban,Yes,No,Low,Medium,3004,22,Male,Medium,Tertiary,2,6.444444444444445,1.2,5.35,0.04784688995215311
242,24,81,4,15.5,Public,Urban,Yes,No,Low,High,4976,20,Female,Medium,Primary,1,10.083333333333334,2.4,5.05,0.06060606060606061
104,29,78,2,17.7,Public,Rural,Yes,Yes,Low,High,877,20,Male,Low,,1,3.586206896551724,1.6,4.9,0.053475935828877004
145,9,74,3,16.5,Public,Urban,Yes,Yes,High,Medium,2421,18,Female,Low,Tertiary,1,16.11111111111111,2.1999999999999997,5.7,0.05714285714285714
106,8,100,2,7.8,Private,Urban,Yes,Yes,Low,Medium,3136,22,Female,Low,Primary,1,13.25,1.6,6.0,0.11363636363636363
161,22,74,3,13.9,Public,Rural,Yes,No,Low,Low,2049,19,Female,Low,Secondary,2,7.318181818181818,1.7999999999999998,4.7,0.06711409395973154
157,5,82,4,18.5,Public,Urban,Yes,Yes,Medium,Medium,1653,18,Female,Medium,,1,31.4,2.8,5.1,0.05128205128205128
185,14,82,2,6.5,Public,Rural,Yes,No,Medium,High,388,20,Female,Low,Tertiary,1,13.214285714285714,1.2,5.1,0.13333333333333333
118,33,68,1,9.9,Public,Rural,Yes,No,Medium,Medium,3066,21,Male,Medium,Secondary,4,3.5757575757575757,0.6,4.4,0.09174311926605504
235,30,81,4,1.3,Public,Urban,Yes,Yes,Medium,Medium,2214,15,Male,Medium,Tertiary,3,7.833333333333333,2.8,5.05,0.4347826086956522
209,40,73,3,6.5,Public,Urban,Yes,No,Low,Medium,3345,20,Female,Low,Primary,3,5.225,1.7999999999999998,4.65,0.13333333333333333
124,21,77,3,1.0,Public,Rural,No,Yes,High,Low,3855,19,Male,Medium,Primary,1,5.904761904761905,2.1999999999999997,4.85,0.5
189,8,95,4,19.5,Public,Rural,Yes,Yes,High,High,1236,19,Male,Low,Primary,1,23.625,2.8,6.75,0.04878048780487805
106,21,86,2,14.3,Public,Rural,Yes,Yes,High,Low,4502,21,Female,Medium,Primary,2,5.0476190476190474,1.6,6.3,0.06535947712418301
104,6,83,2,16.0,Public,Urban,Yes,Yes,Medium,Medium,3654,21,Female,Low,Secondary,1,17.333333333333332,1.6,5.15,0.058823529411764705
147,18,75,1,3.5,Public,Urban,Yes,Yes,Medium,Medium,4535,19,Female,Medium,Primary,1,8.166666666666666,1.0,4.75,0.2222222222222222
173,20,84,1,15.0,Private,Urban,Yes,Yes,Medium,High,3821,22,Female,Medium,Tertiary,1,8.65,1.0,5.2,0.0625
133,25,100,2,18.5,Public,Rural,No,Yes,Low,Medium,1459,20,Female,Low,,2,5.32,1.6,5.0,0.05128205128205128
217,26,73,2,5.6,Public,Urban,No,No,Low,Medium,2268,22,Male,Low,,1,8.346153846153847,1.2,3.65,0.15151515151515152
217,27,94,3,11.7,Public,Rural,No,No,Medium,Low,3578,22,Male,Medium,Primary,2,8.037037037037036,1.7999999999999998,4.7,0.07874015748031496
124,23,77,3,16.8,Public,Rural,Yes,Yes,Medium,Low,2751,20,Female,Low,,1,5.391304347826087,2.1999999999999997,4.85,0.056179775280898875
268,35,100,1,5.8,Public,Rural,Yes,Yes,High,Medium,1556,16,Female,Medium,Secondary,4,7.6571428571428575,1.0,7.0,0.14705882352941177
105,10,96,4,10.7,Public,Rural,Yes,Yes,Medium,Low,3907,20,Female,Medium,Tertiary,1,10.5,2.8,5.8,0.08547008547008547
157,16,100,1,9.7,Public,Urban,Yes,No,High,Low,747,16,Male,High,Tertiary,1,9.8125,0.6,7.0,0.09345794392523366
148,26,76,2,8.3,Public,Rural,Yes,Yes,Low,Medium,2292,18,Female,Low,,2,5.6923076923076925,1.6,4.8,0.1075268817204301
268,35,97,2,12.4,Private,Rural,Yes,Yes,High,High,4735,16,Female,High,Primary,3,7.6571428571428575,1.6,6.85,0.07462686567164178
229,28,85,2,12.8,Public,Rural,Yes,Yes,Low,Medium,404,17,Male,High,Tertiary,3,8.178571428571429,1.6,5.25,0.07246376811594203
205,27,91,3,14.4,Public,Urban,No,Yes,Medium,Medium,1191,20,Male,Low,Primary,2,7.592592592592593,2.1999999999999997,4.55,0.06493506493506493
125,2,72,2,1.5,Public,Urban,No,Yes,Low,High,1861,22,Female,Low,Secondary,1,62.5,1.6,3.6,0.4
222,26,88,5,7.9,Private,Urban,Yes,Yes,Medium,Medium,3537,17,Female,High,Secondary,4,8.538461538461538,3.4,5.4,0.11235955056179775
146,27,93,1,17.8,Public,Urban,Yes,No,Medium,Low,1806,16,Male,Medium,Secondary,1,5.407407407407407,0.6,5.65,0.05319148936170213
248,20,84,1,0.6,Public,Urban,No,Yes,High,High,2600,15,Male,Medium,Tertiary,1,12.4,1.0,5.2,0.625
291,30,100,4,17.0,Private,Rural,No,Yes,Low,Low,941,19,Female,High,Tertiary,2,9.7,2.8,5.0,0.05555555555555555
212,28,88,1,15.5,Private,Urban,Yes,Yes,High,Low,1399,19,Female,Medium,Secondary,3,7.571428571428571,1.0,6.4,0.06060606060606061
220,19,83,4,14.0,Private,Rural,No,Yes,Medium,High,4517,17,Male,Low,,1,11.578947368421053,2.8,4.15,0.06666666666666667
142,17,96,2,5.1,Public,Urban,No,Yes,Medium,Medium,2682,19,Male,High,Tertiary,2,8.352941176470589,1.6,4.8,0.1639344262295082
112,14,78,2,18.4,Public,Urban,No,No,Medium,Medium,1693,19,Female,Low,Secondary,1,8.0,1.2,3.9,0.051546391752577324
227,18,82,2,12.7,Public,Urban,No,Yes,Medium,Medium,2053,18,Female,Medium,Secondary,1,12.61111111111111,1.6,4.1,0.07299270072992702
189,24,88,2,6.9,Private,Urban,Yes,No,High,Low,2331,21,Female,Low,Primary,2,7.875,1.2,6.4,0.12658227848101264
185,13,89,3,6.1,Public,Rural,No,Yes,Medium,High,371,17,Female,Medium,Secondary,1,14.23076923076923,2.1999999999999997,4.45,0.14084507042253522
193,27,91,2,18.8,Public,Urban,Yes,No,High,Medium,831,16,Male,Low,Secondary,1,7.148148148148148,1.2,6.55,0.050505050505050504
118,9,79,1,8.1,Public,Rural,Yes,No,Low,Medium,244,16,Male,Medium,Secondary,1,13.11111111111111,0.6,4.95,0.10989010989010989
